Misspelt             Predicted            Correct              Match
anf                  p                    and                  N      
anf                  pa                   and                  N      
anf                  pb                   and                  N      
anf                  pc                   and                  N      
anf                  pd                   and                  N      
anf                  pe                   and                  N      
anf                  pf                   and                  N      
anf                  pg                   and                  N      
anf                  ph                   and                  N      
anf                  pi                   and                  N      
anf                  pk                   and                  N      
anf                  pl                   and                  N      
anf                  pm                   and                  N      
anf                  po                   and                  N      
anf                  pp                   and                  N      
anf                  pq                   and                  N      
anf                  pr                   and                  N      
anf                  ps                   and                  N      
anf                  pt                   and                  N      
anf                  pu                   and                  N      
anf                  pw                   and                  N      
anf                  px                   and                  N      
anf                  q                    and                  N      
anf                  qa                   and                  N      
anf                  qc                   and                  N      
anf                  qe                   and                  N      
anf                  qh                   and                  N      
anf                  qi                   and                  N      
anf                  ql                   and                  N      
anf                  qm                   and                  N      
anf                  qn                   and                  N      
anf                  qp                   and                  N      
anf                  qr                   and                  N      
anf                  qs                   and                  N      
anf                  qt                   and                  N      
anf                  qu                   and                  N      
anf                  qv                   and                  N      
anf                  qy                   and                  N      
anf                  r                    and                  N      
anf                  ra                   and                  N      
anf                  rb                   and                  N      
anf                  rc                   and                  N      
anf                  rd                   and                  N      
anf                  re                   and                  N      
anf                  rf                   and                  N      
anf                  rg                   and                  N      
anf                  rh                   and                  N      
anf                  rm                   and                  N      
anf                  rn                   and                  N      
anf                  ro                   and                  N      
anf                  rp                   and                  N      
anf                  rs                   and                  N      
anf                  rt                   and                  N      
anf                  ru                   and                  N      
anf                  rv                   and                  N      
anf                  s                    and                  N      
anf                  sa                   and                  N      
anf                  sb                   and                  N      
anf                  sc                   and                  N      
anf                  sd                   and                  N      
anf                  se                   and                  N      
anf                  sf                   and                  N      
anf                  sg                   and                  N      
anf                  sh                   and                  N      
anf                  si                   and                  N      
anf                  sk                   and                  N      
anf                  sl                   and                  N      
anf                  sm                   and                  N      
anf                  sn                   and                  N      
anf                  so                   and                  N      
anf                  sp                   and                  N      
anf                  sq                   and                  N      
anf                  sr                   and                  N      
anf                  ss                   and                  N      
anf                  st                   and                  N      
anf                  su                   and                  N      
anf                  sv                   and                  N      
anf                  sw                   and                  N      
anf                  t                    and                  N      
anf                  ta                   and                  N      
anf                  tb                   and                  N      
anf                  tc                   and                  N      
anf                  td                   and                  N      
anf                  te                   and                  N      
anf                  tg                   and                  N      
anf                  th                   and                  N      
anf                  ti                   and                  N      
anf                  tk                   and                  N      
anf                  tm                   and                  N      
anf                  tn                   and                  N      
anf                  to                   and                  N      
anf                  tp                   and                  N      
anf                  tr                   and                  N      
anf                  ts                   and                  N      
anf                  tu                   and                  N      
anf                  tv                   and                  N      
anf                  tx                   and                  N      
anf                  ty                   and                  N      
anf                  u                    and                  N      
anf                  uc                   and                  N      
anf                  ud                   and                  N      
anf                  ug                   and                  N      
anf                  uh                   and                  N      
anf                  ui                   and                  N      
anf                  uk                   and                  N      
anf                  ul                   and                  N      
anf                  um                   and                  N      
anf                  un                   and                  N      
anf                  up                   and                  N      
anf                  ur                   and                  N      
anf                  us                   and                  N      
anf                  ut                   and                  N      
anf                  uv                   and                  N      
anf                  ux                   and                  N      
anf                  v                    and                  N      
anf                  va                   and                  N      
anf                  vb                   and                  N      
anf                  vc                   and                  N      
anf                  vd                   and                  N      
anf                  vf                   and                  N      
anf                  vg                   and                  N      
anf                  vi                   and                  N      
anf                  vj                   and                  N      
anf                  vl                   and                  N      
anf                  vm                   and                  N      
anf                  vo                   and                  N      
anf                  vp                   and                  N      
anf                  vr                   and                  N      
anf                  vs                   and                  N      
anf                  vt                   and                  N      
anf                  vu                   and                  N      
anf                  vv                   and                  N      
anf                  w                    and                  N      
anf                  wa                   and                  N      
anf                  wb                   and                  N      
anf                  wc                   and                  N      
anf                  wd                   and                  N      
anf                  we                   and                  N      
anf                  wf                   and                  N      
anf                  wg                   and                  N      
anf                  wh                   and                  N      
anf                  wi                   and                  N      
anf                  wk                   and                  N      
anf                  wl                   and                  N      
anf                  wm                   and                  N      
anf                  wo                   and                  N      
anf                  wr                   and                  N      
anf                  ws                   and                  N      
anf                  wt                   and                  N      
anf                  wu                   and                  N      
anf                  wv                   and                  N      
anf                  wy                   and                  N      
anf                  x                    and                  N      
anf                  xc                   and                  N      
anf                  xd                   and                  N      
anf                  xi                   and                  N      
anf                  xl                   and                  N      
anf                  xp                   and                  N      
anf                  xr                   and                  N      
anf                  xs                   and                  N      
anf                  xu                   and                  N      
anf                  xv                   and                  N      
anf                  xw                   and                  N      
anf                  xx                   and                  N      
anf                  y                    and                  N      
anf                  ya                   and                  N      
anf                  yb                   and                  N      
anf                  yd                   and                  N      
anf                  ye                   and                  N      
anf                  yi                   and                  N      
anf                  ym                   and                  N      
anf                  yn                   and                  N      
anf                  yo                   and                  N      
anf                  yr                   and                  N      
anf                  ys                   and                  N      
anf                  yt                   and                  N      
anf                  z                    and                  N      
anf                  za                   and                  N      
anf                  zb                   and                  N      
anf                  zn                   and                  N      
anf                  zo                   and                  N      
anf                  zr                   and                  N      
anf                  zs                   and                  N      
anf                  zx                   and                  N      
appology             apology              apology              Y      
appropo              appro                apropos              N      
arguement            argument             argument             Y      
arsewipe             arsewipe             asswipe              N      
astrix               strix                asterix              N      
athiest              lathiest             atheist              N      
athy                 cathy                atheist              N      
athy                 kathy                atheist              N      
athy                 lathy                atheist              N      
athy                 pathy                atheist              N      
athy                 thy                  atheist              N      
awch                 a                    ouch                 N      
awch                 aa                   ouch                 N      
awch                 ab                   ouch                 N      
awch                 ac                   ouch                 N      
awch                 ach                  ouch                 N      
awch                 ad                   ouch                 N      
awch                 ae                   ouch                 N      
awch                 af                   ouch                 N      
awch                 ag                   ouch                 N      
awch                 ah                   ouch                 N      
awch                 ai                   ouch                 N      
awch                 ak                   ouch                 N      
awch                 al                   ouch                 N      
awch                 am                   ouch                 N      
awch                 an                   ouch                 N      
awch                 ao                   ouch                 N      
awch                 ap                   ouch                 N      
awch                 aq                   ouch                 N      
awch                 ar                   ouch                 N      
awch                 as                   ouch                 N      
awch                 at                   ouch                 N      
awch                 au                   ouch                 N      
awch                 av                   ouch                 N      
awch                 aw                   ouch                 N      
awch                 awa                  ouch                 N      
awch                 awd                  ouch                 N      
awch                 awe                  ouch                 N      
awch                 awk                  ouch                 N      
awch                 awl                  ouch                 N      
awch                 awm                  ouch                 N      
awch                 awn                  ouch                 N      
awch                 ax                   ouch                 N      
awch                 ay                   ouch                 N      
awch                 az                   ouch                 N      
awch                 b                    ouch                 N      
awch                 ba                   ouch                 N      
awch                 bb                   ouch                 N      
awch                 bc                   ouch                 N      
awch                 bch                  ouch                 N      
awch                 bd                   ouch                 N      
awch                 be                   ouch                 N      
awch                 bf                   ouch                 N      
awch                 bg                   ouch                 N      
awch                 bi                   ouch                 N      
awch                 bk                   ouch                 N      
awch                 bl                   ouch                 N      
awch                 bm                   ouch                 N      
awch                 bn                   ouch                 N      
awch                 bo                   ouch                 N      
awch                 bp                   ouch                 N      
awch                 br                   ouch                 N      
awch                 bs                   ouch                 N      
awch                 bt                   ouch                 N      
awch                 bu                   ouch                 N      
awch                 bv                   ouch                 N      
awch                 bx                   ouch                 N      
awch                 by                   ouch                 N      
awch                 bz                   ouch                 N      
awch                 c                    ouch                 N      
awch                 ca                   ouch                 N      
awch                 cb                   ouch                 N      
awch                 cc                   ouch                 N      
awch                 cd                   ouch                 N      
awch                 ce                   ouch                 N      
awch                 cf                   ouch                 N      
awch                 cg                   ouch                 N      
awch                 ch                   ouch                 N      
awch                 ci                   ouch                 N      
awch                 ck                   ouch                 N      
awch                 cl                   ouch                 N      
awch                 cm                   ouch                 N      
awch                 co                   ouch                 N      
awch                 cp                   ouch                 N      
awch                 cq                   ouch                 N      
awch                 cr                   ouch                 N      
awch                 cs                   ouch                 N      
awch                 ct                   ouch                 N      
awch                 cu                   ouch                 N      
awch                 cv                   ouch                 N      
awch                 cw                   ouch                 N      
awch                 cy                   ouch                 N      
awch                 d                    ouch                 N      
